player,xg,goals,attempts
Lutsharel Geertruida,0.3521089595258393,0,3
Rico Henry,0.3506491435133497,0,3
Anthony Gordon (pen),0.34627329192546585,2,2
Christantus Uche,0.34627329192546585,0,2
Zian Flemming (pen),0.34627329192546585,2,2
Noah Sadiki,0.3438925717265211,0,5
Stefanos Tzimas,0.34243697478991597,1,4
Lukas Nmecha (pen),0.33913043478260874,1,2
Wesley Fofana,0.33913043478260874,0,2
Enzo Le Fée (pen),0.33913043478260874,2,2
Matt Doherty,0.329302673891018,0,3
Dominic Solanke,0.3240977550440466,0,2
Erling Haaland (pen),0.3240977550440466,1,2
Sven Botman,0.3240977550440466,0,2
Jaka Bijol,0.3240977550440466,1,2
Josh Laurent,0.3189350085840157,0,5
Soungoutou Magassa,0.308095952023988,1,3
Destiny Udogie,0.308095952023988,0,2
Toti Gomes,0.3044899119067917,0,2
Oliver Sonne,0.3044899119067917,1,2
Will Hughes,0.30425963488843816,0,4
Andrew Robertson,0.2972520144096397,0,3
Michael Kayode,0.28825783186837955,0,4
Vitaly Janelt,0.28465179175118327,0,4
Jacob Ramsey,0.28296509556733335,0,3
James Ward-Prowse,0.2816836262719704,0,2
James Hill,0.2816836262719704,0,2
Jeremie Frimpong,0.2816836262719704,0,2
Freddie Potts,0.27610837438423647,0,3
Nathan Aké,0.26993464052287586,0,3
Ben White,0.2616186259450016,0,3
William Saliba,0.25806451612903225,0,2
Nicolás Domínguez,0.2556162249846175,0,3
Harvey Elliott,0.24507389162561577,0,3
Elliot Anderson (pen),0.2391304347826087,1,1
Danny Welbeck (pen),0.2391304347826087,0,1
Nick Woltemade (pen),0.2391304347826087,1,1
Jamaal Lascelles,0.2391304347826087,0,1
Lucas Paquetá (pen),0.2391304347826087,1,1
James Milner (pen),0.2391304347826087,1,1
Callum Marshall,0.2391304347826087,0,1
Viktor Gyökeres (pen),0.22903225806451613,2,2
Tim Iroegbunam,0.22449723347397163,0,4
Reinildo Mandava,0.21505552575640186,0,3
Jørgen Strand Larsen (pen),0.21428571428571427,1,2
Vitaliy Mykolenko,0.2116903498988248,0,4
Hugo Bueno,0.2115512871815393,0,3
Rodri,0.20741629985327464,0,3
Dan Burn,0.20689655172413793,0,3
David Møller Wolfe,0.2026443311557872,0,3
Antoine Semenyo (pen),0.2,1,2
Romaine Mundle,0.19607843137254904,0,3
Conor Bradley,0.19287998887498262,0,3
Kyle Walker,0.18874500154671797,0,3
Joe Willock,0.17610837438423643,0,2
Dilane Bakwa,0.17327214573772773,0,3
Valentino Livramento,0.17250233426704015,0,2
Gabriel Jesus,0.16993464052287582,0,2
Nayef Aguerd,0.16993464052287582,0,2
Joe Gomez,0.16896551724137931,0,2
Dwight McNeil,0.15393283750281722,0,2
Oleksandr Zinchenko,0.1504658601029064,0,3
Nathaniel Clyne,0.15032679738562094,0,2
Archie Gray,0.1425531914893617,0,2
Justin Devenny (pen),0.12903225806451613,1,1
Mohamed Salah (pen),0.12903225806451613,1,1
Arthur Masuaku,0.12903225806451613,0,1
Rio Ngumoha,0.12903225806451613,1,1
Lucas,0.12658396692010138,0,2
Rayan Aït-Nouri,0.11297852474323063,0,2
Ola Aina,0.1079126686135447,0,2
Iliman Ndiaye (pen),0.10714285714285714,1,1
Ben Gannon-Doak,0.10714285714285714,0,1
Antonee Robinson,0.1,0,1
Dominic Calvert-Lewin (pen),0.1,1,1
Bukayo Saka (pen),0.1,1,1
Marcus Tavernier (pen),0.1,1,1
Kobbie Mainoo,0.09017223910840932,0,2
Manuel Ugarte,0.0851063829787234,0,2
Lewis Cook,0.0851063829787234,0,2
Matt O'Riley (pen),0.08496732026143791,1,1
Simon Adingra,0.08496732026143791,0,1
Enzo Fernández (pen),0.08496732026143791,1,1
Patrick Roberts,0.08496732026143791,0,1
Mohamadou Kanté,0.08496732026143791,0,1
Kevin Schade (pen),0.08496732026143791,0,1
Veljko Milosavljević,0.08496732026143791,0,1
Jaydee Canvot,0.08496732026143791,0,1
Luke Shaw,0.08496732026143791,0,1
Myles Lewis-Skelly,0.06896551724137931,0,1
Luis Guilherme,0.06896551724137931,0,1
Jackson Tchatchoua,0.06896551724137931,0,1
Jean-Clair Todibo,0.06896551724137931,0,1
Bafodé Diakité,0.06535947712418301,0,1
Christian Nørgaard,0.06535947712418301,0,1
Reiss Nelson,0.06535947712418301,0,1
Morato,0.06535947712418301,0,1
Kevin Danso,0.06535947712418301,0,1
Ayden Heaven,0.06535947712418301,0,1
Guido Rodríguez,0.061224489795918366,0,1
Mateus Mane,0.061224489795918366,0,1
Ryan Yates,0.061224489795918366,0,1
Douglas Luiz,0.061224489795918366,0,1
James Mcatee,0.0425531914893617,0,1
Ki-Jana Hoever,0.0425531914893617,0,1
James Milner,0.0425531914893617,0,1
Noussair Mazraoui,0.0425531914893617,0,1
Rico Lewis,0.0425531914893617,0,1
Tom Watson,0.0425531914893617,0,1
